platform,rating,title,text,date
Play Store,2,KYC stuck for weeks,"My bank account verification has been pending for 12 days now. Uploaded documents twice, no update from support.",2026-07-06
App Store,1,Withdrawal not credited,"Requested a withdrawal from my wallet and it has been 6 working days. Still shows processing. This is my money.",2026-07-08
Play Store,5,Great for beginners,"Super clean interface, I started my first SIP in under 5 minutes. Love how simple everything is.",2026-07-09
App Store,3,App keeps crashing,"App crashes almost every time I open the F&O section. Have to restart my phone to get it working again.",2026-07-10
Play Store,1,Support never replies,"Raised a ticket about a failed UPI payment 4 days ago. No response on chat or email. Very frustrating.",2026-07-12
Play Store,4,Good but needs stop-loss,"Overall a great app for mutual funds and stocks. Would love a proper stop-loss and GTT feature for intraday.",2026-07-14
App Store,2,Login issues during market open,"Couldn't log in right when markets opened, missed my buy order. This keeps happening during volatile days.",2026-07-15
Play Store,5,Smooth SIP experience,"Setting up and tracking my SIPs is effortless. The dashboard is very intuitive for a first time investor.",2026-07-16
App Store,1,Bank verification rejected twice,"My bank proof got rejected twice for unclear reasons, and customer care could not explain why.",2026-07-19
Play Store,2,Slow withdrawal processing,"Withdrawal to my bank account took 5 days instead of the promised 1-2 days. No proactive update was sent.",2026-07-21
Play Store,4,"Nice charts, laggy at times","Charting is decent for a beginner app, but scrolling through watchlists lags on my phone sometimes.",2026-07-22
App Store,1,App froze during a trade,"App froze mid order placement and I could not tell if my order went through. Had to check web version separately.",2026-07-24
Play Store,3,Onboarding could be faster,"KYC process asked for the same documents three times across different screens. Confusing and repetitive.",2026-07-26
App Store,5,Best app for new investors,"As someone new to investing, this app made it very easy to understand mutual funds and start small.",2026-07-27
Play Store,1,"Money deducted, order failed","Amount was deducted for a mutual fund purchase but the order shows failed. Refund still not received after a week.",2026-07-29
Play Store,2,Customer support very slow,"In app chat support takes hours to respond and mostly gives generic replies that don't solve the issue.",2026-08-01
App Store,4,Request: dark mode watchlist,"Would love more customization on the watchlist and a proper dark mode across all screens.",2026-08-02
Play Store,1,Withdrawal delayed again,"Second time this month my withdrawal has taken more than 4 working days. Support just says 'please wait'.",2026-08-04
App Store,5,Clean and reliable,"Been using this for a year now for SIPs, works well most of the time and the UI is clean.",2026-08-05
Play Store,3,KYC document upload fails,"Document upload for KYC fails repeatedly on mobile data, only works on wifi. Needs fixing.",2026-08-07
App Store,2,App crashed on results day,"App crashed right after a big earnings announcement, right when I wanted to place an order. Bad timing.",2026-08-09
Play Store,5,Easy fund transfers,"Adding money and investing is very smooth. Best app for someone who wants to start investing without confusion.",2026-08-10
App Store,1,No update on my refund,"A failed transaction refund has not come back after 6 days. Support keeps saying it is 'in process'.",2026-08-12
Play Store,2,Support ignored my ticket,"Opened three support tickets for the same withdrawal delay issue and got no resolution, just copy paste replies.",2026-08-13
Play Store,4,"Solid app, minor bugs","Mostly reliable, but sometimes the portfolio value doesn't refresh properly until I restart the app.",2026-08-15
App Store,1,KYC rejected without reason,"My KYC got rejected with no clear reason given. Had to redo the whole process from scratch.",2026-08-17
Play Store,5,Great UI for beginners,"The whole app feels designed for people who are investing for the first time. Very approachable.",2026-08-18
App Store,2,Login broken again,"Could not log in for almost an hour today, right during market hours. Second time this happened this month.",2026-08-20
Play Store,3,Feature request: basket orders,"Please add basket order support like other apps, would make multi-stock investing much faster.",2026-08-21
App Store,1,Withdrawal stuck in processing,"My withdrawal has been stuck in processing status for 7 days now with no update from the team.",2026-08-23
Play Store,2,App lags on older phones,"App is quite heavy and lags a lot on my older phone, especially when switching between tabs.",2026-08-25
App Store,4,Helpful for SIP tracking,"Really like how it shows my SIP performance over time, makes it easy to stay on top of my investments.",2026-08-26
Play Store,1,Support unresponsive for days,"Sent multiple messages about a payment issue and got zero response for over 4 days straight.",2026-08-28
App Store,3,KYC verification slow,"Bank account linking for KYC took over a week. Everything else about the app is fine though.",2026-08-30
Play Store,5,Very beginner friendly,"I recommend this to all my friends who are new to the stock market, very easy to understand.",2026-09-01
App Store,2,Crashes during high traffic,"App becomes unusable when the market is very volatile, crashes or freezes right when I need it most.",2026-09-02
Play Store,1,Withdrawal delay with no explanation,"Withdrawal request pending for 6 days, no explanation given despite asking support twice.",2026-09-04
App Store,4,Good but chat support is weak,"App itself works fine, but if you ever need help the chat support takes forever to actually resolve anything.",2026-09-05
Play Store,3,Watchlist needs personalization,"Wish I could reorder and group my watchlist better, right now it feels a bit basic.",2026-09-07
App Store,1,Bank verification loop,"Stuck in a loop where KYC says pending, then failed, then pending again. No one can explain what's wrong.",2026-09-08
Play Store,5,Smooth experience overall,"Very happy with the app, investing in mutual funds has never been this easy for me.",2026-09-09
App Store,2,Support ticket closed without fix,"My support ticket about a stuck withdrawal was closed as 'resolved' without actually returning my money.",2026-09-10
Play Store,1,App unstable on order day,"App kept crashing on the day I wanted to place a large order, ended up missing the price I wanted.",2026-09-12
App Store,3,KYC process needs streamlining,"Too many steps for KYC that feel redundant, could easily be combined into fewer screens.",2026-09-13
Play Store,4,Nice for tracking portfolio,"Good overview of my portfolio and mutual funds in one place, though I wish loading was faster.",2026-09-14
App Store,1,Withdrawal still not received,"It has now been over a week since I requested a withdrawal, funds still not credited to my bank.",2026-09-15
Play Store,2,Support response time is bad,"Every time I raise an issue, it takes at least 2-3 days just to get a first reply from support.",2026-09-16
App Store,5,Very good for new investors,"Simple, clean, and great for someone starting their investing journey without getting overwhelmed.",2026-09-17
Play Store,1,App froze mid transaction,"App froze while I was completing a payment, couldn't tell if money was deducted or not, quite scary.",2026-09-17
